,API,X,Y,Pore Pressure,Thickness,Porosity,Oil Saturation,Cum. Gas,MDS 1,MDS 2,NS_MDS 1,NS_MDS 2,DB-label
0,100052806018W500,256.8186647,6072.238414,15.595800400000002,36.322799700000004,0.06714149999999999,0.0674037,0.52082328,-1.8467585135917797,0.662134827303146,0.22291853717132254,0.6414771869885996,0
1,100013105918W500,262.5228833,6063.768151,16.414499300000003,28.556400300000004,0.07252130000000001,0.0763013,1.4509926000000002,-1.5831162803297372,-2.6329603524510254,0.25745385313177926,0.010000000000000009,0
2,100153605920W500,273.71178310000005,6063.267474,17.809,32.216598499999996,0.0723941,0.0885611,1.721126,-0.3159405379942692,-1.2368370622494345,0.42344514404716505,0.277555247994852,1
3,100012106321W500,283.76971360000005,6105.233958,17.5009995,31.287799800000002,0.0767722,0.201194,1.3379683999999998,4.085473075696913,-0.2647041563555339,1.0,0.46385631649349596,0
4,100010106320W500,267.3884428,6097.5737070000005,17.1082001,33.3664017,0.06626660000000001,0.12199600000000001,0.69337375,1.9541619134965063,-1.4068748189113927,0.7208129233092924,0.24496894671940417,0
5,105143306221W500,283.117295,6094.484679,18.0303001,36.3754005,0.0742981,0.103171,1.0595350000000001,0.8775403421942641,1.1377662694997175,0.5797829158073817,0.7326279394788597,2
6,100073606020W500,271.6147345,6072.097325,17.7395,33.8017998,0.0704312,0.07139619999999999,0.016008996,-0.29798689757144026,-0.5114354786270022,0.42579694723503503,0.41657234051390435,1
7,102161706119W500,267.5329598,6077.125163000001,17.3078003,37.013099700000005,0.07113560000000001,0.0609276,1.3405432,-0.5744723025654155,0.9285357195221752,0.38957926427211154,0.6925306700756271,3
8,100041506121W500,284.16477660000004,6083.015605,18.0109997,34.8508987,0.0665313,0.08999839999999999,0.97077875,1.0589408918995598,-0.9513328046288747,0.6035451378988863,0.33226972986573683,1
9,102083206221W500,285.0469673,6097.729671,18.0757008,35.87829970000001,0.0754627,0.11924100000000001,0.71456794,1.366259639430809,1.1823567638173185,0.6438017762805472,0.7411733314575553,2
